# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 10.549 GeV
# 4-Momentum Transfer (Q2) = 3.50 - 4.50 GeV (step: 0.25) 
# x-Bjorken (xbj) = 1.30 - 1.6 (step: 0.01) 
# Missing Momentum (Pr) = 0.00 - 1.0 GeV (step: 0.10) 
# 
# th_nq = 35 +/- 1 deg
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.7000 	 1.4600 	 8.9978 	 12.1467 	 2.0507 	 58.6392 	 2.5800 	 47.2083 	 35.4935 	 11.4309 	 4.2500
  0.7000 	 1.4700 	 9.0083 	 12.1395 	 2.0391 	 58.7202 	 2.5737 	 47.3977 	 34.8844 	 11.3225 	 4.2500
  0.7000 	 1.4800 	 9.0187 	 12.1325 	 2.0277 	 58.7953 	 2.5674 	 47.5854 	 34.2721 	 11.2100 	 4.2500
  0.7000 	 1.4600 	 8.9065 	 12.5643 	 2.1507 	 57.0968 	 2.6829 	 46.2341 	 35.3812 	 10.8627 	 4.5000
  0.7000 	 1.4700 	 8.9177 	 12.5564 	 2.1385 	 57.1797 	 2.6760 	 46.4250 	 34.7551 	 10.7547 	 4.5000
  0.7000 	 1.4800 	 8.9287 	 12.5487 	 2.1264 	 57.2567 	 2.6693 	 46.6144 	 34.1253 	 10.6423 	 4.5000
  0.8000 	 1.4400 	 9.2538 	 10.8653 	 1.6944 	 66.1481 	 2.2754 	 50.0493 	 35.9660 	 16.0987 	 3.5000
  0.8000 	 1.4500 	 9.2627 	 10.8601 	 1.6842 	 66.2395 	 2.2704 	 50.2359 	 35.4789 	 16.0036 	 3.5000
  0.8000 	 1.4600 	 9.2715 	 10.8549 	 1.6741 	 66.3254 	 2.2654 	 50.4207 	 34.9913 	 15.9047 	 3.5000
  0.8000 	 1.4700 	 9.2802 	 10.8498 	 1.6641 	 66.4059 	 2.2605 	 50.6038 	 34.5032 	 15.8021 	 3.5000
  0.8000 	 1.4800 	 9.2888 	 10.8448 	 1.6543 	 66.4809 	 2.2557 	 50.7852 	 34.0145 	 15.6956 	 3.5000
  0.8000 	 1.4500 	 9.1708 	 11.2988 	 1.7886 	 64.2204 	 2.3768 	 49.1095 	 35.6505 	 15.1109 	 3.7500
  0.8000 	 1.4600 	 9.1803 	 11.2930 	 1.7779 	 64.3101 	 2.3714 	 49.2966 	 35.1497 	 15.0135 	 3.7500
  0.8000 	 1.4700 	 9.1896 	 11.2872 	 1.7674 	 64.3944 	 2.3660 	 49.4821 	 34.6480 	 14.9123 	 3.7500
  0.8000 	 1.4800 	 9.1988 	 11.2816 	 1.7570 	 64.4732 	 2.3608 	 49.6659 	 34.1454 	 14.8073 	 3.7500
  0.8000 	 1.4500 	 9.0789 	 11.7297 	 1.8918 	 62.3496 	 2.4821 	 48.0384 	 35.7695 	 14.3112 	 4.0000
  0.8000 	 1.4600 	 9.0890 	 11.7232 	 1.8805 	 62.4426 	 2.4762 	 48.2276 	 35.2555 	 14.2150 	 4.0000
  0.8000 	 1.4700 	 9.0989 	 11.7168 	 1.8694 	 62.5301 	 2.4704 	 48.4152 	 34.7405 	 14.1150 	 4.0000
  0.8000 	 1.4800 	 9.1087 	 11.7105 	 1.8584 	 62.6122 	 2.4646 	 48.6010 	 34.2242 	 14.0111 	 4.0000
  0.8000 	 1.4500 	 8.9871 	 12.1539 	 1.9938 	 60.6076 	 2.5864 	 47.0172 	 35.8471 	 13.5904 	 4.2500
  0.8000 	 1.4600 	 8.9978 	 12.1467 	 1.9820 	 60.7034 	 2.5800 	 47.2083 	 35.3202 	 13.4952 	 4.2500
  0.8000 	 1.4700 	 9.0083 	 12.1395 	 1.9703 	 60.7938 	 2.5737 	 47.3977 	 34.7920 	 13.3961 	 4.2500
  0.8000 	 1.4800 	 9.0187 	 12.1325 	 1.9587 	 60.8787 	 2.5674 	 47.5854 	 34.2622 	 13.2933 	 4.2500
  0.8000 	 1.4500 	 8.8952 	 12.5724 	 2.0949 	 58.9786 	 2.6898 	 46.0414 	 35.8920 	 12.9371 	 4.5000
  0.8000 	 1.4600 	 8.9065 	 12.5643 	 2.0825 	 59.0768 	 2.6829 	 46.2341 	 35.3525 	 12.8428 	 4.5000
  0.8000 	 1.4700 	 8.9177 	 12.5564 	 2.0702 	 59.1696 	 2.6760 	 46.4250 	 34.8112 	 12.7446 	 4.5000
  0.8000 	 1.4800 	 8.9287 	 12.5487 	 2.0581 	 59.2570 	 2.6693 	 46.6144 	 34.2682 	 12.6426 	 4.5000
  0.9000 	 1.4100 	 9.2262 	 10.8816 	 1.6491 	 68.1487 	 2.2912 	 49.4789 	 35.9127 	 18.6698 	 3.5000
  0.9000 	 1.4200 	 9.2355 	 10.8761 	 1.6384 	 68.2592 	 2.2859 	 49.6709 	 35.4705 	 18.5883 	 3.5000
  0.9000 	 1.4300 	 9.2447 	 10.8707 	 1.6278 	 68.3642 	 2.2806 	 49.8610 	 35.0286 	 18.5032 	 3.5000
  0.9000 	 1.4400 	 9.2538 	 10.8653 	 1.6173 	 68.4638 	 2.2754 	 50.0493 	 34.5868 	 18.4144 	 3.5000
  0.9000 	 1.4500 	 9.2627 	 10.8601 	 1.6070 	 68.5579 	 2.2704 	 50.2359 	 34.1452 	 18.3220 	 3.5000
  0.9000 	 1.4200 	 9.1417 	 11.3168 	 1.7457 	 66.1066 	 2.3938 	 48.5375 	 35.8374 	 17.5692 	 3.7500
  0.9000 	 1.4300 	 9.1515 	 11.3107 	 1.7345 	 66.2162 	 2.3881 	 48.7299 	 35.3857 	 17.4863 	 3.7500
  0.9000 	 1.4400 	 9.1613 	 11.3047 	 1.7234 	 66.3203 	 2.3824 	 48.9206 	 34.9341 	 17.3998 	 3.7500
  0.9000 	 1.4500 	 9.1708 	 11.2988 	 1.7125 	 66.4191 	 2.3768 	 49.1095 	 34.4823 	 17.3096 	 3.7500
  0.9000 	 1.4600 	 9.1803 	 11.2930 	 1.7018 	 66.5124 	 2.3714 	 49.2966 	 34.0305 	 17.2158 	 3.7500
  0.9000 	 1.4300 	 9.0584 	 11.7431 	 1.8397 	 64.2305 	 2.4944 	 47.6547 	 35.6726 	 16.5758 	 4.0000
  0.9000 	 1.4400 	 9.0687 	 11.7364 	 1.8281 	 64.3386 	 2.4882 	 47.8474 	 35.2111 	 16.4911 	 4.0000
  0.9000 	 1.4500 	 9.0789 	 11.7297 	 1.8166 	 64.4413 	 2.4821 	 48.0384 	 34.7493 	 16.4029 	 4.0000
  0.9000 	 1.4600 	 9.0890 	 11.7232 	 1.8053 	 64.5386 	 2.4762 	 48.2276 	 34.2872 	 16.3110 	 4.0000
  0.9000 	 1.4300 	 8.9652 	 12.1688 	 1.9437 	 62.3856 	 2.5997 	 46.6301 	 35.9036 	 15.7555 	 4.2500
  0.9000 	 1.4400 	 8.9762 	 12.1613 	 1.9315 	 62.4970 	 2.5930 	 46.8245 	 35.4323 	 15.6724 	 4.2500
  0.9000 	 1.4500 	 8.9871 	 12.1539 	 1.9194 	 62.6030 	 2.5864 	 47.0172 	 34.9606 	 15.5858 	 4.2500
  0.9000 	 1.4600 	 8.9978 	 12.1467 	 1.9075 	 62.7038 	 2.5800 	 47.2083 	 34.4883 	 15.4955 	 4.2500
  0.9000 	 1.4700 	 9.0083 	 12.1395 	 1.8957 	 62.7993 	 2.5737 	 47.3977 	 34.0155 	 15.4016 	 4.2500
  0.9000 	 1.4400 	 8.8837 	 12.5805 	 2.0338 	 60.7778 	 2.6969 	 45.8471 	 35.6086 	 14.9307 	 4.5000
  0.9000 	 1.4500 	 8.8952 	 12.5724 	 2.0212 	 60.8868 	 2.6898 	 46.0414 	 35.1271 	 14.8454 	 4.5000
  0.9000 	 1.4600 	 8.9065 	 12.5643 	 2.0087 	 60.9906 	 2.6829 	 46.2341 	 34.6448 	 14.7565 	 4.5000
  0.9000 	 1.4700 	 8.9177 	 12.5564 	 1.9964 	 61.0891 	 2.6760 	 46.4250 	 34.1618 	 14.6640 	 4.5000
  1.0000 	 1.3700 	 9.1876 	 10.9045 	 1.6116 	 69.9421 	 2.3137 	 48.6926 	 35.7401 	 21.2495 	 3.5000
  1.0000 	 1.3800 	 9.1975 	 10.8986 	 1.6002 	 70.0753 	 2.3080 	 48.8920 	 35.3271 	 21.1833 	 3.5000
  1.0000 	 1.3900 	 9.2072 	 10.8929 	 1.5889 	 70.2029 	 2.3023 	 49.0895 	 34.9149 	 21.1133 	 3.5000
  1.0000 	 1.4000 	 9.2168 	 10.8872 	 1.5778 	 70.3248 	 2.2967 	 49.2852 	 34.5032 	 21.0397 	 3.5000
  1.0000 	 1.4100 	 9.2262 	 10.8816 	 1.5668 	 70.4412 	 2.2912 	 49.4789 	 34.0922 	 20.9623 	 3.5000
  1.0000 	 1.3800 	 9.1009 	 11.3423 	 1.7112 	 67.7757 	 2.4180 	 47.7496 	 35.8734 	 20.0261 	 3.7500
  1.0000 	 1.3900 	 9.1113 	 11.3357 	 1.6993 	 67.9083 	 2.4118 	 47.9494 	 35.4541 	 19.9589 	 3.7500
  1.0000 	 1.4000 	 9.1216 	 11.3293 	 1.6876 	 68.0353 	 2.4057 	 48.1472 	 35.0355 	 19.8881 	 3.7500
  1.0000 	 1.4100 	 9.1317 	 11.3230 	 1.6760 	 68.1569 	 2.3997 	 48.3432 	 34.6172 	 19.8136 	 3.7500
  1.0000 	 1.4200 	 9.1417 	 11.3168 	 1.6645 	 68.2730 	 2.3938 	 48.5375 	 34.1994 	 19.7355 	 3.7500
  1.0000 	 1.3900 	 9.0155 	 11.7711 	 1.8080 	 65.7932 	 2.5202 	 46.8663 	 35.9054 	 18.9268 	 4.0000
  1.0000 	 1.4000 	 9.0264 	 11.7639 	 1.7957 	 65.9245 	 2.5136 	 47.0661 	 35.4795 	 18.8583 	 4.0000
  1.0000 	 1.4100 	 9.0372 	 11.7569 	 1.7835 	 66.0504 	 2.5071 	 47.2641 	 35.0540 	 18.7863 	 4.0000
  1.0000 	 1.4200 	 9.0479 	 11.7499 	 1.7714 	 66.1709 	 2.5007 	 47.4603 	 34.6287 	 18.7106 	 4.0000
  1.0000 	 1.4300 	 9.0584 	 11.7431 	 1.7595 	 66.2861 	 2.4944 	 47.6547 	 34.2037 	 18.6314 	 4.0000
  1.0000 	 1.4000 	 8.9313 	 12.1920 	 1.9024 	 63.9678 	 2.6205 	 46.0363 	 35.8530 	 17.9316 	 4.2500
  1.0000 	 1.4100 	 8.9428 	 12.1841 	 1.8896 	 64.0975 	 2.6134 	 46.2360 	 35.4201 	 17.8615 	 4.2500
  1.0000 	 1.4200 	 8.9541 	 12.1764 	 1.8769 	 64.2218 	 2.6065 	 46.4339 	 34.9874 	 17.7879 	 4.2500
  1.0000 	 1.4300 	 8.9652 	 12.1688 	 1.8645 	 64.3408 	 2.5997 	 46.6301 	 34.5548 	 17.7108 	 4.2500
  1.0000 	 1.4400 	 8.9762 	 12.1613 	 1.8521 	 64.4546 	 2.5930 	 46.8245 	 34.1222 	 17.6301 	 4.2500
  1.0000 	 1.4100 	 8.8483 	 12.6058 	 1.9945 	 62.2784 	 2.7189 	 45.2540 	 35.7290 	 17.0244 	 4.5000
  1.0000 	 1.4200 	 8.8602 	 12.5972 	 1.9813 	 62.4060 	 2.7114 	 45.4534 	 35.2889 	 16.9525 	 4.5000
  1.0000 	 1.4300 	 8.8721 	 12.5888 	 1.9682 	 62.5283 	 2.7041 	 45.6511 	 34.8487 	 16.8772 	 4.5000
  1.0000 	 1.4400 	 8.8837 	 12.5805 	 1.9553 	 62.6455 	 2.6969 	 45.8471 	 34.4084 	 16.7983 	 4.5000
