# d(e,e'p)n Central Kinematics Summary
# Beam Energy (Ei) = 8.800 GeV
# 4-Momentum Transfer (Q2) = 1.00 - 1.90 GeV (step: 0.10) 
# x-Bjorken (xbj) = 1.00 - 2.05 (step: 0.05) 
# Missing Momentum (Pr) = 0.10 - 0.55 GeV (step: 0.05) 
# Hadron Out-of-Plane Angle (phi): rotation axis is q-vector 
# thp = thq - thpq, phi = 0  (q-vector scatters at smaller  angles than proton scattering angle)# 
# # 
# Tensor Polarized Deuterium: d(e,e'p) kinematics :
# 
# Header Definitions: 
# Pr   : Central Missing Momentum [GeV/c] 
# xbj  : Bjorken x  
# kf   : e- final momentum [GeV/c] 
# th_e : e- scattering angle [deg] 
# Pf   : final proton momentum [GeV/c] 
# th_p : proton scattering angle [deg] 
# q    : 3-momentum transfer [GeV] 
# th_q : relative angle between q-vector and +z (lab)  [deg] 
# th_nq: relative angle between q-vector and recoil neutron [deg] 
# th_pq: relative angle between q-vector and knocked-out proton [deg] 
# Q2   : 4-Momentum Transfer [GeV^2]  
# 
#! Pr[f,0]/ 	  xbj[f,1]/ 	 kf[f,2]/ 	 th_e[f,3]/ 	 Pf[f,4]/ 	 th_p[f,5]/ 	 q[f,6]/ 	 th_q[f,7]/ 	 th_nq[f,8]/ 	 th_pq[f,9]/ 	 Q2[f,10]/
  0.4000 	 1.6000 	 8.3670 	 7.6188 	 0.8815 	 53.6111 	 1.2196 	 65.4446 	 26.8680 	 11.8335 	 1.3000  (TOO LOW Q2, <1), but can make		Q2>1 cut

  0.5000 	 1.8000 	 8.2967 	 8.7513 	 0.9207 	 56.9833 	 1.3976 	 64.5819 	 14.0934 	 7.5986 	 1.7000
  0.5000 	 1.6000 	 8.2005 	 9.0584 	 1.0536 	 48.6690 	 1.4695 	 61.4735 	 27.8391 	 12.8045 	 1.8000
  0.5000 	 1.6500 	 8.2187 	 9.0483 	 1.0291 	 50.4330 	 1.4622 	 62.1258 	 24.6534 	 11.6928 	 1.8000
  0.5000 	 1.7000 	 8.2358 	 9.0389 	 1.0058 	 52.3733 	 1.4555 	 62.7457 	 21.2352 	 10.3724 	 1.8000
  0.5000 	 1.7500 	 8.2519 	 9.0301 	 0.9837 	 54.5813 	 1.4493 	 63.3354 	 17.4229 	 8.7541 	 1.8000
  0.5000 	 1.8000 	 8.2671 	 9.0217 	 0.9625 	 57.2678 	 1.4436 	 63.8968 	 12.8400 	 6.6290 	 1.8000
  0.5000 	 1.6000 	 8.1672 	 9.3261 	 1.0978 	 48.6247 	 1.5167 	 60.7646 	 27.4979 	 12.1399 	 1.9000
  0.5000 	 1.6500 	 8.1864 	 9.3152 	 1.0724 	 50.4212 	 1.5088 	 61.4290 	 24.1757 	 11.0078 	 1.9000
  0.5000 	 1.7000 	 8.2044 	 9.3049 	 1.0483 	 52.4103 	 1.5016 	 62.0607 	 20.5770 	 9.6503 	 1.9000
  0.5000 	 1.7500 	 8.2214 	 9.2952 	 1.0254 	 54.7035 	 1.4949 	 62.6617 	 16.4945 	 7.9582 	 1.9000
