# histogram parameters 
# dx = 5.0
# dy = 0.04
# nx = 38
# ny = 40
# xmin = 0.0
# ymin = -0.02

# Averaged Kinematics Numerical File
#
# NOTE: averaged quantities are determined from SIMC @ the vertex
# calculated quantities are calculated external to SIMC assuming
# (using averged quantities as input, if needed)
#
# id_bin     : 2d bin number
# id_xbin    : xbin number
# id_ybin    : ybin number
# thnq_b     : central theta_nq value (e.g., 5, 15, 25, 35, . . . deg)
# pm_b       : central missing momentum value (80, 120, 160, . . . MeV)
# Ei         : average beam energy [MeV]
# kf         : average final e- momentum [MeV]
# the        : average final e- angle [deg]
# nu         : average energy transfer [MeV]
# nu_calc    : calculated energy transfer [MeV]
# Q2_calc    : calculated 4-momentum transfer [MeV^2]
# q_calc     : calculated 3-momentum transfer [MeV]
# Ep_calc    : calculated final proton energy [MeV]
# Pf         : average final proton momentum [MeV]
# Pm         : average missing momentum [MeV]
# Pm_calc    : calculated missing momentum [MeV]
# En_calc    : calculated recoil neutron energy [MeV]
# Pf_Par_q   : calculated Pf component (q-frame) parallel to q
# Pf_Perp_q  : calculated Pf component (q-frame) perpendicular to q
# thpq       : avergaed angle between proton and q [deg]
# thpq_calc  : calculated angle between proton and q [deg]
# thpq_cm    : calculated angle between proton and q in c.m. [deg]
# thnq       : averaged angle between recoil neutron and q [deg]
# thnq_calc  : calculated angle between recoil neutron and q [deg]
# cphi_pq    : averaged cos(angle) betweeen proton and q [deg]
# sphi_pq    : averaged sin(angle) betweeen proton and q [deg] 
# alpha_calc : calculated spectatror (neutron) light-cone momentum fraction 
# contz      : bin content for the specified (Pm, thnq) bin
# 
pms,xsec_fsi,xsec_pwia,id_bin,id_xbin,id_ybin,thnq_b,pm_b,Ei,kf,the,nu,nu_calc,Q2_calc,q_calc,Ep_calc,Pf,Pm,Pm_calc,En_calc,Pf_Par_q,Pf_Perp_q,thpq,thpq_calc,thpq_cm,thnq,thnq_calc,cphi_pq,sphi_pq,alpha_calc,contz
0.31922,0.1410673E+00,0.1593940E+00,371,11,9,52.500,0.320,10545.345,8419.067,13.260,2126.278,2126.278,4733975.559,3042.209,3009.576,2859.579,318.862,319.224,992.315,2848.313,253.591,5.078,5.088,16.382,52.540,52.598,-0.866,0.023,0.850,6.068E+00
0.35910,0.8516857E-01,0.8659381E-01,411,11,10,52.500,0.360,10544.894,8410.263,13.345,2134.633,2134.631,4789223.379,3057.102,3004.391,2854.122,358.816,359.103,1005.852,2839.770,285.870,5.740,5.748,18.610,52.708,52.756,-0.826,-0.016,0.839,4.170E+00
0.39796,0.5712817E-01,0.5255374E-01,451,11,11,52.500,0.400,10545.361,8396.313,13.437,2149.041,2149.048,4847804.920,3076.721,3004.289,2854.014,397.703,397.962,1020.372,2836.337,317.158,6.373,6.380,20.750,52.802,52.840,-0.784,0.031,0.830,2.570E+00
0.43758,0.4198732E-01,0.3502257E-01,491,11,12,52.500,0.440,10545.270,8389.065,13.478,2156.205,2156.205,4872984.129,3085.807,2995.352,2844.605,437.378,437.582,1036.466,2823.006,349.877,7.058,7.065,23.001,53.060,53.089,-0.714,0.046,0.823,1.428E+00
0.47760,0.3234137E-01,0.2479719E-01,531,11,13,52.500,0.480,10545.303,8383.019,13.508,2162.288,2162.284,4890890.949,3092.954,2983.910,2832.555,477.441,477.601,1053.986,2806.642,382.268,7.750,7.756,25.251,53.139,53.167,-0.627,0.128,0.817,5.783E-01
0.51801,0.2619522E-01,0.1833022E-01,571,11,14,52.500,0.520,10545.260,8376.224,13.518,2169.038,2169.037,4894068.311,3098.191,2971.749,2819.741,517.876,518.007,1072.900,2788.949,415.572,8.469,8.475,27.527,53.319,53.346,-0.576,0.058,0.813,3.565E-01
0.55578,0.2178662E-01,0.1375704E-01,611,11,15,52.500,0.560,10544.455,8358.271,13.553,2186.183,2186.184,4908567.510,3112.550,2970.159,2818.065,555.652,555.776,1091.637,2782.377,447.072,9.123,9.128,29.565,53.538,53.553,-0.577,0.015,0.810,1.661E-01
0.59732,0.1840196E-01,0.9869187E-02,651,11,16,52.500,0.600,10544.744,8330.339,13.601,2214.406,2214.405,4926661.903,3135.323,2976.658,2824.914,597.220,597.316,1113.360,2783.382,482.621,9.833,9.837,31.713,53.887,53.899,-0.532,-0.152,0.810,9.700E-02
0.63876,0.1609080E-01,0.7073788E-02,691,11,17,52.500,0.640,10546.119,8309.627,13.619,2236.493,2236.492,4927770.702,3151.138,2975.972,2824.191,638.659,638.759,1136.133,2776.412,517.295,10.551,10.554,33.830,54.075,54.081,-0.504,0.104,0.810,3.313E-02
0.67344,0.1469659E-01,0.5269002E-02,731,11,18,52.500,0.680,10544.413,8286.811,13.642,2257.603,2257.602,4930512.913,3166.588,2977.225,2825.511,673.368,673.444,1155.989,2772.269,545.930,11.138,11.140,35.531,54.150,54.160,-0.485,-0.031,0.811,1.974E-02
